x_matlab,y_matlab,y_fgsl
2,90.3144439366199,90.3144439366199
2.38,88.1109062138722,88.1109062138722
2.76,86.0096016417097,86.0096016417097
3.14,84.0597056596543,84.0597056596543
3.52,82.3103937072282,82.3103937072282
3.9,80.8108412239532,80.8108412239532
4.28,79.6102236493514,79.6102236493514
4.66,78.7542597618714,78.7542597618714
5.04,78.2181904773366,78.2181904773366
5.42,77.9114557113776,77.9114557113776
5.8,77.7409754737023,77.7409754737023
6.18,77.6136697740189,77.6136697740189
6.56,77.4364586220354,77.4364586220354
6.94,77.1162620274597,77.1162620274597
7.32,76.56,76.56
7.7,75.7035019703777,75.7035019703777
8.08,74.5982350533678,74.5982350533678
8.46,73.3245757847588,73.3245757847588
8.84,71.9629007003393,71.9629007003393
9.22,70.5935863358975,70.5935863358975
9.6,69.2970092272221,69.2970092272221
9.98,68.1535459101015,68.1535459101015
10.36,67.2434347053917,67.2434347053917
10.74,66.6107471560027,66.6107471560027
11.12,66.2151973557447,66.2151973557447
11.5,66.0044948472507,66.0044948472507
11.88,65.9263491731538,65.9263491731538
12.26,65.9284698760872,65.9284698760872
12.64,65.9585664986839,65.9585664986839
13.02,65.964348583577,65.964348583577
13.4,65.8936247785811,65.8936247785811
13.78,65.707921710308,65.707921710308
14.16,65.3963913367886,65.3963913367886
14.54,64.9515012213622,64.9515012213622
14.92,64.3657189273684,64.3657189273684
15.3,63.6315120181466,63.6315120181466
15.68,62.7413480570363,62.7413480570363
16.06,61.687694607377,61.687694607377
16.44,60.463884902942,60.463884902942
16.82,59.0930687753598,59.0930687753598
17.2,57.6350450256442,57.6350450256442
17.58,56.1518628597845,56.1518628597844
17.96,54.7055714837698,54.7055714837698
18.34,53.3582201035897,53.3582201035897
18.72,52.1718579252334,52.1718579252334
19.1,51.2085341546901,51.2085341546901
19.48,50.5289386597323,50.5289386597323
19.86,50.1392359363382,50.1392359363382
20.24,49.9737719099705,49.9737719099705
20.62,49.9619920414736,49.9619920414736
21,50.0333417916921,50.0333417916921
21.38,50.1172666214703,50.1172666214703
21.76,50.1432119916528,50.1432119916528
22.14,50.0406233630839,50.0406233630839
22.52,49.7395837627146,49.7395837627146
22.9,49.2137461864551,49.2137461864551
23.28,48.5075452747964,48.5075452747964
23.66,47.6719005420053,47.6719005420053
24.04,46.7577315023483,46.7577315023483
24.42,45.8159576700922,45.8159576700922
24.8,44.8974985595037,44.8974985595037
25.18,44.0532736848494,44.0532736848494
25.56,43.3299964455771,43.3299964455771
25.94,42.732519323072,42.732519323072
26.32,42.2416917581748,42.2416917581748
26.7,41.8380787666475,41.8380787666475
27.08,41.5022453642522,41.5022453642522
27.46,41.2147565667508,41.2147565667508
27.84,40.9561773899054,40.9561773899054
28.22,40.7070799370725,40.7070799370725
28.6,40.4525160682282,40.4525160682282
28.98,40.1896808473289,40.1896808473289
29.36,39.9178069933954,39.9178069933954
29.74,39.6361272254482,39.6361272254482
30.12,39.343874262508,39.343874262508
30.5,39.0402808235952,39.0402808235952
30.88,38.7245796277304,38.7245796277304
31.26,38.3960020761716,38.3960020761716
31.64,38.0529466703218,38.0529466703218
32.02,37.6915541833883,37.6915541833883
32.4,37.3075865370579,37.3075865370579
32.78,36.8968056530174,36.8968056530174
33.16,36.4549734529535,36.4549734529535
33.54,35.9778518585531,35.9778518585531
33.92,35.4612027915029,35.4612027915029
34.3,34.9007881734898,34.9007881734898
34.68,34.2956455280578,34.2956455280578
35.06,33.6601597417064,33.6601597417064
35.44,33.0132067353058,33.0132067353058
35.82,32.3736629913865,32.3736629913865
36.2,31.760404992479,31.760404992479
36.58,31.1923092211136,31.1923092211136
36.96,30.6882521598209,30.6882521598209
37.34,30.266915631336,30.266915631336
37.72,29.9336788045128,29.9336788045128
38.1,29.672310006116,29.672310006116
38.48,29.4645976204556,29.4645976204556
38.86,29.2923300318415,29.2923300318415
39.24,29.1372956245836,29.1372956245836
39.62,28.9812827829919,28.9812827829919
40,28.8060798913762,28.8060798913762
